"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
017000,4,,4,,91,,4,,89,,4,,88,,4,,92,,85,,683,,22,,
017009,4,,5,,92,,4,,92,,4,,86,,4,,92,,87,,275,,31,,
017013,5,,5,,92,,4,,90,,5,,89,,4,,92,,88,,234,,36,,
017014,4,,5,,92,,3,,87,,4,,88,,4,,93,,85,,120,,30,,
017016,5,,5,,91,,4,,90,,5,,90,,5,,92,,88,,212,,28,,
017018,4,,5,,93,,4,,92,,4,,84,,4,,92,,87,,325,,29,,
017020,4,,5,,92,,4,,88,,4,,88,,4,,88,,83,,269,,21,,
017024,4,,4,,90,,3,,87,,4,,86,,3,,86,,83,,479,,30,,
017025,4,,4,,90,,3,,86,,4,,83,,3,,84,,82,,379,,22,,
017026,3,,4,,90,,3,,87,,3,,80,,3,,85,,80,,381,,26,,
017027,4,,5,,92,,4,,90,,4,,88,,4,,89,,83,,581,,28,,
017034,4,,5,,93,,3,,85,,4,,83,,4,,89,,83,,232,,27,,
017035,4,,4,,89,,3,,85,,4,,84,,3,,86,,81,,462,,23,,
017037,3,,4,,88,,3,,87,,3,,82,,3,,85,,78,,279,,26,,
017039,2,,3,,87,,2,,81,,2,,73,,2,,79,,75,,285,,19,,
017048,4,,5,,91,,4,,90,,4,,84,,4,,89,,89,,144,,34,,
017050,Not Available,11,Not Available,11,97,11,Not Available,11,86,11,Not Available,11,82,11,Not Available,11,90,11,76,11,23,11,26,11,11
017051,3,,3,,87,,3,,85,,3,,79,,3,,83,,73,,284,,20,,
017052,4,,5,,93,,4,,91,,4,,86,,4,,90,,88,,329,,36,,
017053,4,,4,,90,,3,,88,,4,,86,,4,,88,,86,,338,,36,,
017054,4,,5,,91,,3,,87,,4,,84,,4,,90,,85,,239,,22,,
017055,4,,5,,92,,4,,90,,4,,84,,4,,89,,84,,236,,29,,
017056,3,,3,,86,,3,,86,,3,,80,,3,,85,,77,,171,,22,,
017058,4,,4,,90,,3,,87,,4,,84,,4,,86,,81,,394,,31,,
017063,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017066,5,,5,,93,,4,,89,,4,,86,,5,,91,,88,,176,,27,,
017069,4,,4,,90,,4,,89,,4,,88,,4,,87,,83,,331,,32,,
017070,5,,5,,94,,5,,93,,5,,89,,5,,93,,89,,117,,23,,
017071,4,,5,,92,,4,,90,,4,,87,,4,,88,,88,,312,,31,,
017072,3,,4,,89,,3,,87,,4,,84,,2,,83,,76,,103,,25,,
017078,5,,5,,95,,5,,93,,4,,88,,5,,93,,91,,124,,27,,
017079,5,,5,,93,,5,,93,,5,,92,,5,,92,,89,,82,,36,,
017080,5,,5,,92,,4,,90,,5,,92,,4,,90,,83,,300,,22,,
017082,3,,3,,84,,3,,85,,3,,79,,2,,84,,69,,287,,18,,
017084,4,,5,,92,,4,,90,,4,,86,,4,,88,,81,,104,,26,,
017085,4,,4,,89,,3,,86,,4,,86,,3,,82,,74,,172,,26,,
017086,3,,4,,91,,3,,88,,3,,82,,2,,85,,79,,110,,29,,
017088,5,,5,,94,,5,,93,,4,,85,,4,,89,,84,,128,,31,,
017089,4,,5,,92,,4,,90,,4,,86,,4,,88,,85,,206,,31,,
017090,5,,5,,92,,4,,87,,5,,89,,4,,89,,85,,131,,26,,
017091,4,,5,,94,,3,,86,,5,,91,,4,,91,,83,,92,,47,,
017092,5,11,5,11,93,11,5,11,92,11,5,11,89,11,5,11,96,11,88,11,55,11,29,11,11
017093,4,,5,,93,,4,,92,,4,,88,,3,,88,,86,,104,,27,,
017094,5,,5,,94,,5,,93,,5,,90,,5,,91,,94,,150,,29,,
017095,4,,5,,90,,4,,88,,4,,85,,3,,86,,80,,234,,30,,
017096,4,,5,,91,,3,,87,,4,,85,,3,,84,,80,,159,,26,,
017097,5,,5,,93,,4,,89,,5,,91,,4,,87,,85,,112,,35,,
017100,Not Available,11,Not Available,11,94,11,Not Available,11,97,11,Not Available,11,86,11,Not Available,11,99,11,93,11,38,11,21,11,11
017103,5,11,5,11,92,11,4,11,87,11,4,11,83,11,5,11,95,11,94,11,49,11,28,11,11
017104,5,,5,,97,,5,,93,,5,,91,,5,,96,,90,,111,,32,,
017106,Not Available,11,Not Available,11,90,11,Not Available,11,82,11,Not Available,11,85,11,Not Available,11,78,11,89,11,37,11,20,11,11
017107,5,,5,,90,,4,,90,,5,,89,,4,,88,,87,,219,,30,,
017109,5,11,5,11,94,11,5,11,96,11,5,11,94,11,4,11,93,11,93,11,48,11,28,11,11
